location_id,order_date,daily_ingredient_cost,rolling_7day_avg
1,2024-06-01,121.195,121.195
1,2024-06-02,85.85499999999999,103.52499999999999
1,2024-06-03,72.78999999999999,93.27999999999999
1,2024-06-04,40.83,80.16749999999999
1,2024-06-05,64.85,77.104
1,2024-06-06,52.62,73.02333333333333
1,2024-06-07,126.97,80.72999999999999
1,2024-06-08,100.715,77.80428571428571
1,2024-06-09,93.345,78.8742857142857
1,2024-06-10,54.79,76.30285714285715
1,2024-06-11,44.64,76.84714285714286
1,2024-06-12,119.99,84.7242857142857
1,2024-06-13,137.94,96.91285714285713
1,2024-06-14,117.24,95.52285714285715
1,2024-06-15,121.66499999999999,98.51571428571428
1,2024-06-16,72.82,95.58357142857142
1,2024-06-17,85.22999999999999,99.93214285714285
1,2024-06-18,81.33,105.17357142857144
1,2024-06-19,64.035,97.17999999999999
1,2024-06-20,58.8,85.8742857142857
1,2024-06-21,84.45,81.18999999999998
1,2024-06-22,111.89,79.79357142857143
1,2024-06-23,105.21,84.42071428571428
1,2024-06-24,83.69,84.20071428571428
1,2024-06-25,101.97,87.14928571428571
1,2024-06-26,66.0,87.42999999999999
1,2024-06-27,80.66,90.55285714285715
1,2024-06-28,154.265,100.52642857142857
1,2024-06-29,102.255,99.14999999999999
1,2024-06-30,105.095,99.13357142857141
1,2024-07-01,82.63499999999999,98.98285714285714
1,2024-07-02,86.205,96.73071428571428
1,2024-07-03,77.65,98.395
1,2024-07-04,92.035,100.02
1,2024-07-05,95.985,91.69428571428571
1,2024-07-06,113.26,93.26642857142858
1,2024-07-07,150.2,99.71000000000001
1,2024-07-08,114.845,104.31142857142856
1,2024-07-09,104.73,106.95785714285714
1,2024-07-10,91.64,108.95642857142856
1,2024-07-11,145.405,116.5807142857143
1,2024-07-12,130.43,121.50142857142858
1,2024-07-13,132.505,124.25071428571428
1,2024-07-14,110.115,118.52428571428572
1,2024-07-15,91.215,115.14857142857144
1,2024-07-16,31.935,104.74928571428572
1,2024-07-17,85.47999999999999,103.86928571428572
1,2024-07-18,156.57,105.46428571428571
1,2024-07-19,114.6,103.20285714285714
1,2024-07-20,140.73999999999998,104.37928571428571
1,2024-07-21,150.445,110.14071428571427
1,2024-07-22,33.34,101.87285714285713
1,2024-07-23,99.755,111.56142857142856
1,2024-07-24,97.215,113.23785714285714
1,2024-07-25,81.42999999999999,102.50357142857142
1,2024-07-26,161.66,109.22642857142857
1,2024-07-27,100.045,103.41285714285713
